,title,artist,top genre,year,country,val,dur
331,Espaçosa Demais - Ao Vivo,Felipe Araújo,funk carioca,2018,brazil,71,179
35,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,world,47,272
176,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,australia,47,272
233,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,belgium,47,272
377,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,canada,47,272
345,Fake News - Ao Vivo,Gustavo Mioto,sertanejo,2019,brazil,73,175
980,Falling,Harry Styles,dance pop,2019,malasya,6,240
6,Falling,Trevor Daniel,alternative r&b,2018,world,24,159
156,Falling,Trevor Daniel,alternative r&b,2018,australia,24,159
403,Falling,Trevor Daniel,alternative r&b,2018,germany,24,159
603,Falling,Trevor Daniel,alternative r&b,2018,usa,24,159
703,Falling,Trevor Daniel,alternative r&b,2018,india,24,159
754,Falling,Trevor Daniel,alternative r&b,2018,indonesia,24,159
805,Falling,Trevor Daniel,alternative r&b,2018,israel,24,159
855,Falling,Trevor Daniel,alternative r&b,2018,italy,24,159
956,Falling,Trevor Daniel,alternative r&b,2018,malasya,24,159
105,Fantasias,Rauw Alejandro,latin,2019,argentina,79,200
256,Fantasias,Rauw Alejandro,latin,2019,bolivia,79,200
455,Fantasias,Rauw Alejandro,latin,2019,colombia,79,200
506,Fantasias,Rauw Alejandro,latin,2019,chile,79,200
558,Fantasias,Rauw Alejandro,latin,2019,spain,79,200
529,Fantasía,Ozuna,latin,2019,chile,78,175
579,Fantasía,Ozuna,latin,2019,spain,78,175
995,Feelings,Lauv,pop,2019,malasya,25,190
38,Feliz Navidad,José Feliciano,latin pop,2001,world,96,182
78,Feliz Navidad,José Feliciano,latin pop,2001,africa,96,182
235,Feliz Navidad,José Feliciano,latin pop,2001,belgium,96,182
284,Feliz Navidad,José Feliciano,latin pop,2001,bolivia,96,182
380,Feliz Navidad,José Feliciano,latin pop,2001,canada,96,182
420,Feliz Navidad,José Feliciano,latin pop,2001,germany,96,182
527,Feliz Navidad,José Feliciano,latin pop,2001,chile,96,182
577,Feliz Navidad,José Feliciano,latin pop,2001,spain,96,182
629,Feliz Navidad,José Feliciano,latin pop,2001,usa,96,182
868,Feliz Navidad,José Feliciano,latin pop,2001,italy,96,182
