,title,artist,top genre,year,country,val
29,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,world,35
72,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,africa,35
170,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,australia,35
228,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,belgium,35
370,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,canada,35
416,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,germany,35
623,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,usa,35
387,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,canada,41
634,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,usa,41
430,Doch in der Nacht,Apache 207,german hip hop,2019,germany,71
342,Dois Lados,Wesley Safadão,forro,2019,brazil,93
736,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,india,91
8,Don't Start Now,Dua Lipa,dance pop,2019,world,68
155,Don't Start Now,Dua Lipa,dance pop,2019,australia,68
206,Don't Start Now,Dua Lipa,dance pop,2019,belgium,68
655,Don't Start Now,Dua Lipa,dance pop,2019,france,68
806,Don't Start Now,Dua Lipa,dance pop,2019,israel,68
957,Don't Start Now,Dua Lipa,dance pop,2019,malasya,68
44,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,world,87
181,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,australia,87
240,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,belgium,87
389,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,canada,87
424,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,germany,87
480,Dulce Pecado,Jessi Uribe,colombian pop,2019,colombia,77
719,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,2019,india,52
585,Easy - Remix,Jhay Cortez,latin,2019,spain,44
735,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar,desi pop,2019,india,72
148,El Bombón,Los Palmeras,argentine rock,2016,argentina,87
128,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,argentina,48
524,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,chile,48
486,El Hijo Ausente,Pastor Lopez,cumbia,2012,colombia,85
497,El Jornalero (El Hijo de Tuta),Lisandro Meza,cumbia,2001,colombia,96
327,Ela Vem,MC G15,brega funk,2019,brazil,59
689,Elle est bonne sa mère,Vegedream,francoton,2019,france,47
481,En Barranquilla Me Quedo,Joe Arroyo,cumbia,2009,colombia,75
331,Espaçosa Demais - Ao Vivo,Felipe Araújo,funk carioca,2018,brazil,71
35,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,world,47
176,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,australia,47
233,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,belgium,47
377,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,canada,47
345,Fake News - Ao Vivo,Gustavo Mioto,sertanejo,2019,brazil,73
980,Falling,Harry Styles,dance pop,2019,malasya,6
6,Falling,Trevor Daniel,alternative r&b,2018,world,24
156,Falling,Trevor Daniel,alternative r&b,2018,australia,24
403,Falling,Trevor Daniel,alternative r&b,2018,germany,24
603,Falling,Trevor Daniel,alternative r&b,2018,usa,24
703,Falling,Trevor Daniel,alternative r&b,2018,india,24
754,Falling,Trevor Daniel,alternative r&b,2018,indonesia,24
805,Falling,Trevor Daniel,alternative r&b,2018,israel,24
855,Falling,Trevor Daniel,alternative r&b,2018,italy,24
956,Falling,Trevor Daniel,alternative r&b,2018,malasya,24
105,Fantasias,Rauw Alejandro,latin,2019,argentina,79
256,Fantasias,Rauw Alejandro,latin,2019,bolivia,79
455,Fantasias,Rauw Alejandro,latin,2019,colombia,79
506,Fantasias,Rauw Alejandro,latin,2019,chile,79
558,Fantasias,Rauw Alejandro,latin,2019,spain,79
529,Fantasía,Ozuna,latin,2019,chile,78
579,Fantasía,Ozuna,latin,2019,spain,78
995,Feelings,Lauv,pop,2019,malasya,25
38,Feliz Navidad,José Feliciano,latin pop,2001,world,96
78,Feliz Navidad,José Feliciano,latin pop,2001,africa,96
235,Feliz Navidad,José Feliciano,latin pop,2001,belgium,96
284,Feliz Navidad,José Feliciano,latin pop,2001,bolivia,96
380,Feliz Navidad,José Feliciano,latin pop,2001,canada,96
420,Feliz Navidad,José Feliciano,latin pop,2001,germany,96
527,Feliz Navidad,José Feliciano,latin pop,2001,chile,96
